key,Column 3
1131,"We should ask those two
to join our hunting party."
1132,"But the large one reeks
of boots and sour ale."
1133,"The nunh's a sop who
cares not about his <Emphasis>duty</Emphasis>!"
1134,But that <Emphasis>mane</Emphasis>!
1135,未使用：荒：会話00812
1136,未使用：荒：会話00813
1137,未使用：荒：会話00814
1138,未使用：荒：会話00815
1139,未使用：荒：会話00816
1140,未使用：荒：会話00817
1141,"Steady. Become one
with the bow and guide
the arrow with your soul."
1142,"All this water wasted on
those kittens. Shame, it is."
1143,未使用：荒：会話00820
1144,未使用：荒：会話00821
1145,"When is your next
coupling, Sister?"
1146,"Make sure the beast's
black on the outside,
and bleedin' on the in!"
1147,未使用：荒：会話00824
1148,"Is it time for grub, yet?"
1149,未使用：荒：会話00826
1150,未使用：荒：会話00827
1151,未使用：荒：会話00828
1152,未使用：荒：会話00829
1153,未使用：荒：会話00830
1154,未使用：荒：会話00831
1155,未使用：荒：会話00832
1156,"The heat out here is
positively unbearable!"
1157,"Best keep that nonsense
to yerself while the
foreman's watchin'!"
1158,未使用：荒：会話00835
1159,未使用：荒：会話00836
1160,未使用：荒：会話00837
1161,"O mighty Byregot!
Lend us Your hammer!"
1162,未使用：荒：会話00839
1163,未使用：荒：会話00840
1164,未使用：荒：会話00841
1165,未使用：荒：会話00842
1166,未使用：荒：会話00843
1167,未使用：荒：会話00844
1168,未使用：荒：会話00845
1169,未使用：荒：会話00846
1170,未使用：荒：会話00847
1171,未使用：荒：会話00848
1172,未使用：荒：会話00849
1173,未使用：荒：会話00850
1174,未使用：荒：会話00851
1175,未使用：荒：会話00852
1176,未使用：荒：会話00853
1177,未使用：荒：会話00854
1178,未使用：荒：会話00855
1179,未使用：荒：会話00856
1180,未使用：荒：会話00857
1181,未使用：荒：会話00858
1182,未使用：荒：会話00859
1183,未使用：荒：会話00860
1184,未使用：荒：会話00861
1185,未使用：荒：会話00862
1186,未使用：荒：会話00863
1187,未使用：荒：会話00864
1188,未使用：荒：会話00865
1189,未使用：荒：会話00866
1190,未使用：荒：会話00867
1191,未使用：荒：会話00868
1192,未使用：荒：会話00869
1193,未使用：荒：会話00870
1194,未使用：荒：会話00871
1195,未使用：荒：会話00872
1196,未使用：荒：会話00873
1197,未使用：荒：会話00874
1198,未使用：荒：会話00875
1199,未使用：荒：会話00876
1200,未使用：荒：会話00877
1201,未使用：荒：会話00878
1202,未使用：荒：会話00879
1203,未使用：荒：会話00880
1204,未使用：荒：会話00881
1205,未使用：荒：会話00882
1206,未使用：荒：会話00883
1207,未使用：荒：会話00884
1208,未使用：荒：会話00885
1209,未使用：荒：会話00886
1210,未使用：荒：会話00887
1211,未使用：荒：会話00888
1212,未使用：荒：会話00889
1213,未使用：荒：会話00890
1214,未使用：荒：会話00891
1215,未使用：荒：会話00892
1216,未使用：荒：会話00893
1217,未使用：荒：会話00894
1218,未使用：荒：会話00895
1219,未使用：荒：会話00896
1220,未使用：荒：会話00897
1221,未使用：荒：会話00898
1222,未使用：荒：会話00899
1223,未使用：荒：会話00900
1224,未使用：荒：会話00901
1225,未使用：荒：会話00902
1226,未使用：荒：会話00903
1227,未使用：荒：会話00904
1228,未使用：荒：会話00905
1229,未使用：荒：会話00906
1230,未使用：荒：会話00907
1231,未使用：荒：会話00908
1232,未使用：荒：会話00909
1233,未使用：荒：会話00910
1234,未使用：荒：会話00911
1235,未使用：荒：会話00912
1236,未使用：荒：会話00913
1237,未使用：荒：会話00914
1238,未使用：荒：会話00915
1239,未使用：荒：会話00916
1240,未使用：荒：会話00917
1241,未使用：荒：会話00918
1242,未使用：荒：会話00919
1243,未使用：荒：会話00920
1244,未使用：荒：会話00921
1245,未使用：荒：会話00922
1246,未使用：荒：会話00923
1247,未使用：荒：会話00924
1248,未使用：荒：会話00925
1249,未使用：荒：会話00926
1250,未使用：荒：会話00927
1251,未使用：荒：会話00928
1252,未使用：荒：会話00929
1253,未使用：荒：会話00930
1254,未使用：荒：会話00931
1255,未使用：荒：会話00932
1256,未使用：荒：会話00933
1257,未使用：荒：会話00934
1258,未使用：荒：会話00935
1259,未使用：荒：会話00936
1260,未使用：荒：会話00937
1261,未使用：荒：会話00938
1262,未使用：荒：会話00939
1263,未使用：荒：会話00940
1264,未使用：荒：会話00941
1265,未使用：荒：会話00942
1266,未使用：荒：会話00943
1267,未使用：荒：会話00944
1268,未使用：荒：会話00945
1269,未使用：荒：会話00946
1270,未使用：荒：会話00947
1271,未使用：荒：会話00948
1272,未使用：荒：会話00949
1273,未使用：荒：会話00950
1274,未使用：荒：会話00951
1275,未使用：荒：会話00952
1276,未使用：荒：会話00953
1277,未使用：荒：会話00954
1278,未使用：荒：会話00955
1279,未使用：荒：会話00956
1280,未使用：荒：会話00957
1281,未使用：荒：会話00958
1282,未使用：荒：会話00959
1283,未使用：荒：会話00960
1284,未使用：荒：会話00961
1285,未使用：荒：会話00962
1286,未使用：荒：会話00963
1287,未使用：荒：会話00964
1288,未使用：荒：会話00965
1289,未使用：荒：会話00966
1290,未使用：荒：会話00967
1291,未使用：荒：会話00968
1292,未使用：荒：会話00969
1293,未使用：荒：会話00970
1294,未使用：荒：会話00971
1295,未使用：荒：会話00972
1296,未使用：荒：会話00973
1297,未使用：荒：会話00974
1298,未使用：荒：会話00975
1299,未使用：荒：会話00976
1300,未使用：荒：会話00977
1301,未使用：荒：会話00978
1302,未使用：荒：会話00979
1303,未使用：荒：会話00980
1304,未使用：荒：会話00981
1305,未使用：荒：会話00982
1306,未使用：荒：会話00983
1307,未使用：荒：会話00984
1308,未使用：荒：会話00985
1309,未使用：荒：会話00986
1310,未使用：荒：会話00987
1311,未使用：荒：会話00988
1312,未使用：荒：会話00989
1313,未使用：荒：会話00990
1314,未使用：荒：会話00991
1315,未使用：荒：会話00992
1316,未使用：荒：会話00993
1317,未使用：荒：会話00994
1318,未使用：荒：会話00995
1319,未使用：荒：会話00996
1320,未使用：荒：会話00997
1321,未使用：荒：会話00998
1322,未使用：荒：会話00999
1323,未使用：荒：会話01000
1324,"To us, all this forest belongs!"
1325,"To survive, no chance you have!"
1326,For the elementals!
1327,Begone!
1328,Take this!
1329,Ha!
1330,Graaarrrgh!
1331,"Die, damn you!"
1332,Raaargh!
1333,For the sultana!
1334,Like carving a cake!
1335,Ha!
1336,Hyaaah!
1337,Ha!
1338,Die!
1339,Not on your life!
1340,Traitorous snakes!
1341,You're mine!
1342,Yaaargh!
1343,Rargh!
1344,Down with you!
1345,Ha!
1346,This technology belongs to the Empire!
1347,Get that airship back!
1348,Imperial curs!
1349,For Eorzea!
1350,"What do you see now?
Nothin'! Nothin' at all!"
1351,Bleed fer me!
1352,Yargh!
1353,Ain't no bastard gettin' by me!
1354,"It ends here, Leavold!"
1355,Raaar!
1356,ALDIIIS!
1357,Darkness attends the banquet of your DEMISE!
1358,"Bream, cod, an' lampreys,
caught fresh this morn."
1359,"Who in their right mind'd
eat a bleedin' lamprey?"
1360,I'll take three lampreys!
1361,未使用：海：会話00854
1362,"There's more than
enough opportunity for
profit in Thanalan!"
1363,"And I say there's gil
for the takin' in Limsa."
1364,"Well, we aren't making
<Emphasis>any</Emphasis> coin just sitting here."
1365,未使用：海：会話00858
1366,"I don't think I can
bear another night."
1367,"Like the axe? Why not
take a step closer?"
1368,"We's can give
ye a problem."
1369,"I smells me a man.<If(PlayerParameter(4))>
Where've <Emphasis>you</Emphasis> been, lass?<Else/></If>"
1370,'Ave a problem wiv that?
1371,"Why we sittin' like this?
Ye see any bleedin' chairs?"
1372,"I'm not giving you a
choice. Get this boy
another plate of oysters!"
1373,未使用：海：会話00866
1374,未使用：海：会話00867
1375,"Thought ye'd 'ave yer
way with a pair of
blushin' maids, did ye?"
1376,"Now empty your purse
afore we slice yer wick
and toss it brine-wise."
1377,"What did I do
to deserve this!?"
1378,未使用：海：会話00871
1379,Ye had enough!?
1380,"Would one of ye shut yer
yap and grab that door?"
1381,"Who must I speak
with to have my ship
unquarantined?"
1382,"How much is the tariff
for sun lemons, woman?"
1383,未使用：海：会話00876
1384,You'll pay for that!
1385,Look at the lovebirds!
1386,Kiss an' be done with it!
1387,"I tried, but yer ma said
it was on the house!"
1388,Gah hah hah hah hah!
1389,"That fool would've
done as well to slap
me with a book."
1390,"Um, he <Emphasis>was</Emphasis> a
scholar, you know..."
1391,"Nothin' turns me on like
goin' hard at it with a
fellow 'venturer."
1392,"I come for the view,
I stay for the fish."
1393,"<gasp> ...I have it!
The <Emphasis>ultimate</Emphasis> strategy!"
1394,"Ain't nothin' like the smell
o' blood, sweat, an' brine."
1395,Gahaha! We're unstoppable!
1396,"Great, now that you
went and said <Emphasis>that</Emphasis>..."
1397,"Ack, the wine..."
1398,"Took a few bumps
in transit, looks like."
1399,"If you're thinking of
climbing that...<Emphasis>don't</Emphasis>."
1400,All messed up again...
1401,"That was one of our better
outings. Which isn't saying
much, unfortunately..."
1402,未使用：海：会話00895
1403,未使用：海：会話00896
1404,未使用：海：会話00897
1405,未使用：海：会話00898
1406,未使用：海：会話00899
1407,未使用：海：会話00900
1408,未使用：海：会話00901
1409,未使用：海：会話00902
1410,未使用：海：会話00903
1411,未使用：海：会話00904
1412,未使用：海：会話00905
1413,未使用：海：会話00906
1414,未使用：海：会話00907
1415,未使用：海：会話00908
1416,未使用：海：会話00909
1417,未使用：海：会話00910
1418,未使用：海：会話00911
1419,未使用：海：会話00912
1420,未使用：海：会話00913
1421,未使用：海：会話00914
1422,未使用：海：会話00915
1423,未使用：海：会話00916
1424,未使用：海：会話00917
1425,未使用：海：会話00918
1426,未使用：海：会話00919
1427,未使用：海：会話00920
1428,未使用：海：会話00921
1429,未使用：海：会話00922
1430,未使用：海：会話00923
1431,未使用：海：会話00924
1432,未使用：海：会話00925
1433,未使用：海：会話00926
1434,未使用：海：会話00927
1435,未使用：海：会話00928
1436,未使用：海：会話00929
1437,未使用：海：会話00930
1438,未使用：海：会話00931
1439,未使用：海：会話00932
1440,未使用：海：会話00933
1441,未使用：海：会話00934
1442,未使用：海：会話00935
1443,未使用：海：会話00936
1444,未使用：海：会話00937
1445,未使用：海：会話00938
1446,未使用：海：会話00939
1447,未使用：海：会話00940
1448,未使用：海：会話00941
1449,未使用：海：会話00942
1450,未使用：海：会話00943
1451,未使用：海：会話00944
1452,"Ye'd probably et yer own
ma if we cooked the hag."
1453,未使用：海：会話00946
1454,未使用：海：会話00947
1455,未使用：海：会話00948
1456,未使用：海：会話00949
1457,未使用：海：会話00950
1458,未使用：海：会話00951
1459,未使用：海：会話00952
1460,未使用：海：会話00953
1461,未使用：海：会話00954
1462,未使用：海：会話00955
1463,未使用：海：会話00956
1464,未使用：海：会話00957
1465,未使用：海：会話00958
1466,未使用：海：会話00959
1467,未使用：海：会話00960
1468,未使用：海：会話00961
1469,未使用：海：会話00962
1470,未使用：海：会話00963
1471,未使用：海：会話00964
1472,未使用：海：会話00965
1473,未使用：海：会話00966
1474,未使用：海：会話00967
1475,未使用：海：会話00968
1476,未使用：海：会話00969
1477,未使用：海：会話00970
1478,未使用：海：会話00971
1479,未使用：海：会話00972
1480,未使用：海：会話00973
1481,未使用：海：会話00974
1482,未使用：海：会話00975
1483,未使用：海：会話00976
1484,未使用：海：会話00977
1485,未使用：海：会話00978
1486,未使用：海：会話00979
1487,未使用：海：会話00980
1488,未使用：海：会話00981
1489,未使用：海：会話00982
1490,未使用：海：会話00983
1491,未使用：海：会話00984
1492,未使用：海：会話00985
1493,未使用：海：会話00986
1494,未使用：海：会話00987
1495,未使用：海：会話00988
1496,未使用：海：会話00989
1497,未使用：海：会話00990
1498,未使用：海：会話00991
1499,未使用：海：会話00992
1500,未使用：海：会話00993
1501,未使用：海：会話00994
1502,未使用：海：会話00995
1503,未使用：海：会話00996
1504,未使用：海：会話00997
1505,未使用：海：会話00998
1506,未使用：海：会話00999
1507,未使用：海：会話01000
1508,未使用：海：会話01001
1509,未使用：海：会話01002
1510,未使用：海：会話01003
1511,未使用：海：会話01004
1512,未使用：海：会話01005
1513,未使用：海：会話01006
1514,未使用：海：会話01007
1515,未使用：海：会話01008
1516,未使用：海：会話01009
1517,未使用：海：会話01010
1518,未使用：海：会話01011
1519,未使用：海：会話01012
1520,未使用：海：会話01013
1521,未使用：海：会話01014
1522,未使用：海：会話01015
1523,未使用：海：会話01016
1524,未使用：海：会話01017
1525,未使用：海：会話01018
1526,未使用：海：会話01019
1527,未使用：海：会話01020
1528,未使用：海：会話01021
1529,未使用：海：会話01022
1530,未使用：海：会話01023
1531,未使用：海：会話01024
1532,未使用：海：会話01025
1533,未使用：海：会話01026
1534,"Fruits of the Navigator's
loins! Straight from the
depths of Her salty womb!"
1535,"O Llymlaen! See me safe
to Fisherman's Bottom!"
1536,"Give me ten! No, twenty!"
1537,Uh...I think I'll pass.
1538,Mmm... Loinfruit...
1539,未使用：海：会話01032
1540,"That's a fine rod.
A <Emphasis>fine</Emphasis> rod, indeed."
1541,未使用：海：会話01034
1542,"That's quite the price
for a mere three bags."
1543,未使用：海：会話01036
1544,未使用：海：会話01037
1545,未使用：海：会話01038
1546,未使用：海：会話01039
1547,未使用：海：会話01040
1548,"That's what all my
customers tell me."
1549,"Ye'd both do better back
in the guild polishin'
yer masts! Hah hah hah!"
1550,未使用：海：会話01043
1551,"The decks, they be
stained with the blood o'
more men than there be
in all o' Limsa."
1552,"We may be pirates,
but we ain't uncivilized."
1553,未使用：海：会話01046
1554,"I just catch the fish and
leave the mongerin' to her."
1555,"Greetin's, love. Aught I
can interest you in?"
1556,"The upper decks
lie above."
1557,"My loins throb like
Dalamud! My heart
burns like Megaflare!"
1558,"You have such a
way with words!"
1559,"The Sirens don't 'ave
time for men, unless
they's warmin' our beds."
1560,未使用：海：会話01053
1561,"Don't tell me you've not
heard of Thal Icebound!"
1562,"You wish <Emphasis>me</Emphasis> to sing a
song of <Emphasis>your</Emphasis> deeds?"
1563,"Might be there is.
But it ain't fishes."
1564,未使用：海：会話01057
1565,未使用：海：会話01058
1566,未使用：海：会話01059
1567,未使用：海：会話01060
1568,未使用：海：会話01061
1569,未使用：海：会話01062
1570,未使用：海：会話01063
1571,未使用：海：会話01064
1572,未使用：海：会話01065
1573,未使用：海：会話01066
1574,未使用：海：会話01067
1575,未使用：海：会話01068
1576,未使用：海：会話01069
1577,未使用：海：会話01070
1578,未使用：海：会話01071
1579,未使用：海：会話01072
1580,未使用：海：会話01073
1581,未使用：海：会話01074
1582,未使用：海：会話01075
1583,未使用：海：会話01076
1584,未使用：海：会話01077
1585,<yip> <yip> <yip>
1586,"Focus, my pet..."
1587,"Shining Emerald!
I <Emphasis>said</Emphasis> Shining Emerald!"
1588,Attack!
1589,未使用：海：会話01082
1590,未使用：海：会話01083
1591,"Why'd I wear
my mail for this?"
1592,未使用：海：会話01085
1593,"I reckon one could
burn just about anything
in there."
1594,Dry as bones.
1595,未使用：海：会話01088
1596,未使用：海：会話01089
1597,未使用：海：会話01090
1598,未使用：海：会話01091
1599,未使用：海：会話01092
1600,未使用：海：会話01093
1601,"Is them buzzards
I see a-circlin'?"
1602,"Swabbin' be a rat's job,
if ye ask me."
1603,"Tell us where ye hid
the loot, ye rotten scrag!"
1604,未使用：海：会話00820
1605,未使用：海：会話00821
1606,"Like if I sat on
yer back, ox-breath?"
1607,I's lookin' for a fight!
1608,"I'm looking for
the Admiral!"
1609,"I'm looking for
the custom house."
1610,"When I said I'd follow you
to the ends of the realm,
I didn't think we'd need
to stop and ask directions."
1611,"Where in the Navigator's
name are the airships!?"
1612,"I need sixteen bags
of the root by sunrise."
1613,Not a moment I don't.
1614,Ever think of leavin'?
1615,"A damn hard place, this
Quarterstone. Damn hard."
1616,未使用：海：会話00833
1617,"Saws me a blue canary!
A blue canary, it was! Hic!"
1618,"To be back at sea...
What I wouldn't give..."
1619,"Another day older
and deeper in debt..."
1620,未使用：海：会話00837
1621,Had enough?
1622,"I've been hit harder
by an ocean breeze!"
1623,未使用：海：会話00840
1624,未使用：海：会話00841
1625,未使用：海：会話00842
1626,"He lied there with her
in the dark,♪"
1627,"And not a word
was spoke...♪"
1628,未使用：海：会話00845
1629,未使用：海：会話00846
1630,"What in the Navigator's
name are we doin' here?"
1631,"Wivout no ship, we's use-
less as teats on a flounder."
1632,未使用：海：会話00849
1633,Sneaky bastard!
1634,You ain't havin' that urn!
1635,(Help me...)
1636,"Right after you, lass."
1637,"Why won't ye quit, ye
bloody sea cow!?"
1638,未使用：海：会話01097
1639,未使用：海：会話01098
1640,未使用：海：会話01099
1641,未使用：海：会話01100
1642,未使用：海：会話01101
1643,未使用：海：会話01102
1644,未使用：海：会話01103
1645,未使用：海：会話01104
1646,未使用：海：会話01105
1647,未使用：海：会話01106
1648,未使用：海：会話01107
1649,未使用：海：会話01108
1650,未使用：海：会話01109
1651,未使用：海：会話01110
1652,"But what of
all the Qiqirn?"
1653,"There be fish aplenty
off the Salt Strand."
1654,未使用：海：会話01113
1655,未使用：海：会話01114
1656,"A little more over
here, lemoncake."
1657,"The Navigator smiles
upon me today!"
1658,"She's merely laughin'
at your paltry catch!"
1659,未使用：海：会話01118
1660,"And why should I take
on a scrag as yerself?"
1661,I...er...'ave an eyepatch?
1662,(I was goin' to say that!)
1663,未使用：海：会話01122
1664,"I want to see
him fly, Captain."
1665,"Well then, milord,
what is your assessment?"
1666,"I love ye! Come
and be me saltwife!"
1667,"I's a...a bodice assessor
wiv Mealvaan's Gate."
1668,   ???
1669,未使用：海：会話01128
1670,Hisss!
1671,"I am going to need you
to sign this import slip."
1672,"Are you suggesting I
accept a <Emphasis>bribe</Emphasis>, madam?"
1673,"Five box o' sparklies...
Ten sack o' shinies..."
1674,"Longstand makes gobbie-
legs shake and quake."
1675,Have you...bigger quill?
1676,"Keep your voice low, lest
you disturb the summons."
1677,"An undercover intelli-
gencer? It might just work."
1678,"What if we were to plant
an assessor on the ship?"
1679,"Could you be any
more <Emphasis>specific</Emphasis>, sir?"
1680,未使用：海：会話01139
1681,"Very good! He's
located the milkroot!"
1682,"The reception hall
lies straightaway."
1683,未使用：海：会話01142
1684,Nnngraaahhh!
1685,Jus' toss 'im to the sharks.
1686,"Higher, ladies. Striking
them <Emphasis>there</Emphasis> will only
make your targets angrier."
1687,未使用：海：会話01146
1688,未使用：海：会話01147
1689,未使用：海：会話01148
1690,未使用：海：会話01149
1691,"Might be a couple
nights in the brig
will learn you."
1692,It won't happen again!
1693,未使用：海：会話01152
1694,Bloody recruits...
1695,Me knees...
1696,未使用：海：会話01155
1697,未使用：海：会話01156
1698,未使用：海：会話01157
1699,未使用：海：会話01158
1700,未使用：海：会話01159
1701,"And the special ingre-
dient is...love! Gah hah
hah! I always wanted
to say that."
1702,未使用：海：会話01161
1703,未使用：海：会話01162
1704,"After the Calamity... I...
I never thought I'd... <sob>"
1705,未使用：海：会話01164
1706,"This is where
we first met..."
1707,"It seemed a fitting place
to say our farewells."
1708,"You're coming with
me to the brig!"
1709,I'd like to see ye try!
1710,"Cut 'im, dog! Cut 'im!"
1711,未使用：海：会話01170
1712,未使用：海：会話01171
1713,未使用：海：会話01172
1714,未使用：海：会話01173
1715,"Mamool must be show-
ing the sparkly first, yes?"
1716,"No jinglyshine,
no busydeal!"
1717,"You'll sssee no gold
until we ssseal the
pact in blood, ratman."
1718,"But see, this slip says I
will give you the jingly-
shine when I get it."
1719,未使用：海：会話01178
1720,"Jus' give 'im the coin,
or we'll be here all night."
1721,"Ain't no one'll blink an
eye if you <If(PlayerParameter(4))>go an' singe
yer frillies in the forge<Else/>go an' stick yer
manhood in the forge</If>."
1722,"Let me see... There is an
opening ten summers hence."
1723,"I need a ship!
One what won't sink!"
1724,"<If(PlayerParameter(4))>Ain't never seen
a man swing a sledge?<Else/>Get them winkers off me
forgemate's dugs, 'fore I
renders ye black an' blue.</If>"
1725,未使用：海：会話01184
1726,"This is harder
than it looks."
1727,未使用：海：会話01186
1728,Not cod <Emphasis>again</Emphasis>!
1729,未使用：海：会話01188
1730,未使用：海：会話01189
1731,未使用：海：会話01190
1732,未使用：海：会話01191
1733,未使用：海：会話01192
1734,未使用：海：会話01193
1735,未使用：海：会話01194
1736,未使用：海：会話01195
1737,未使用：海：会話01196
1738,未使用：海：会話01197
1739,未使用：海：会話01198
1740,未使用：海：会話01199
1741,未使用：海：会話01200
1742,未使用：海：会話01201
1743,未使用：海：会話01202
1744,"I needs me a scrag to
do me scrag work."
1745,"Used to be we had
Qiqirn swab the decks."
1746,未使用：海：会話01205
1747,"All I wanted was
an eggless omelette."
1748,"Two score blood
sssausages. Raw."
1749,未使用：海：会話01208
1750,未使用：海：会話01209
1751,未使用：海：会話01210
1752,未使用：海：会話01211
1753,未使用：海：会話01212
1754,未使用：海：会話01213
1755,未使用：海：会話01214
1756,未使用：海：会話01215
1757,未使用：海：会話01216
1758,未使用：海：会話01217
1759,未使用：海：会話01218
1760,未使用：海：会話01219
1761,未使用：海：会話01220
1762,未使用：海：会話01221
1763,未使用：海：会話01222
1764,未使用：海：会話01223
1765,未使用：海：会話01224
1766,未使用：海：会話01225
1767,"Admiral's decree. You've
a problem, you take it up
with <Emphasis>her</Emphasis>."
1768,A background check!?
1769,未使用：海：会話01228
1770,未使用：海：会話01229
1771,未使用：海：会話01230
1772,未使用：海：会話01231
1773,"Back to the
sea with ye, 'Cuda!"
1774,"You going to let him
push you around like
that, love!?"
1775,"There are oils
which can help..."
1776,I'm stiff as a rock.
1777,"Me ship needs all the
salted cod ye can spare."
1778,Thirty barrels do ye?
1779,未使用：海：会話01238
1780,未使用：海：会話01239
1781,未使用：海：会話01240
1782,未使用：海：会話01241
1783,未使用：海：会話01242
1784,未使用：海：会話01243
1785,未使用：海：会話01244
1786,未使用：海：会話01245
1787,未使用：海：会話01246
1788,未使用：海：会話01247
1789,未使用：海：会話01248
1790,未使用：海：会話01249
1791,未使用：海：会話01250
1792,未使用：海：会話01251
1793,未使用：海：会話01252
1794,未使用：海：会話01253
1795,未使用：海：会話01254
1796,未使用：海：会話01255
1797,未使用：海：会話01256
1798,未使用：海：会話01257
1799,未使用：海：会話01258
1800,未使用：海：会話01259
1801,未使用：海：会話01260
1802,未使用：海：会話01261
1803,未使用：海：会話01262
1804,未使用：海：会話01263
1805,未使用：海：会話01264
1806,未使用：海：会話01265
1807,未使用：海：会話01266
1808,未使用：海：会話01267
1809,未使用：海：会話01268
1810,"There are still chores
that need attending!"
1811,"And by the sounds of it,
gobs what need stuffin'!"
1812,"<If(PlayerParameter(4))>Stay the seven hells
away from me boys, hear?<Else/>See aught ye like?</If>"
1813,未使用：海：会話01272
1814,未使用：海：会話01273
1815,"What ye waitin' fer? An
invite from the Admiral?"
1816,"Come a li'l closer, like.
I dinnae 'ear ye!"
1817,"Ye fall to that scrag,
yer arse is mine!"
1818,"Fiffy gil on the...on the...
on theone innnblue! Hic!"
1819,未使用：海：会話01278
1820,"Louder, boys!"
1821,"But in the morning
when he woke,♪"
1822,"He saw the maiden
was a goat!♪"
1823,未使用：海：会話01282
1824,未使用：海：会話01283
1825,未使用：海：会話01284
1826,未使用：海：会話01285
1827,未使用：海：会話01286
1828,未使用：海：会話01287
1829,未使用：海：会話01288
1830,未使用：海：会話01289
1831,未使用：海：会話01290
1832,未使用：海：会話01291
1833,No signs of ashleaf...yet.
1834,未使用：海：会話01293
1835,未使用：海：会話01294
1836,未使用：海：会話01295
1837,"These'll make
a fine sour red."
1838,"And how am I to reach
those ones at the top?"
1839,未使用：海：会話01298
1840,未使用：海：会話01299
1841,未使用：海：会話01300
1842,未使用：海：会話01301
1843,"The winner can
warm me bunk!"
1844,"Ye goin' to let 'im
talk to ye like that?"
1845,未使用：海：会話01304
1846,未使用：海：会話01305
1847,Hah hah hah hah!
1848,Zzzzzz...
1849,未使用：海：会話01308
1850,未使用：海：会話01309
1851,未使用：海：会話01310
1852,未使用：海：会話01311
1853,I <Emphasis>said</Emphasis> raise the lift!
1854,Incoming cargo!
1855,未使用：海：会話01314
1856,未使用：海：会話01315
1857,未使用：海：会話01316
1858,未使用：海：会話01317
1859,"Slower! Slow<Emphasis>er</Emphasis>!
Alright, not <Emphasis>that</Emphasis> slow!"
1860,"And now he's telling
everyone he's gone
and lain with a mermaid!"
1861,"Yes, sir!"
1862,"Yes, sir!"
1863,"Yes, sir!"
1864,"Yes, sir!"
1865,"Yes, sir!"
1866,No looting...?
1867,未使用：海：会話01326
1868,未使用：海：会話01327
1869,未使用：海：会話01328
1870,未使用：海：会話01329
1871,"You worry overmuch!
The captain is malms away."
1872,未使用：海：会話01331
1873,"Any longer and the
captain will report us!"
1874,未使用：海：会話01333
1875,"The fiends will arrive
shortly. Make ready."
1876,"Yes, sir!"
1877,未使用：海：会話01336
1878,"And remember, you're
not pirates anymore! I'll
have no corpse looting."
1879,未使用：海：会話01338
1880,未使用：海：会話01339
1881,未使用：海：会話01340
1882,未使用：海：会話01341
1883,未使用：海：会話01342
1884,未使用：海：会話01343
1885,未使用：海：会話01344
1886,未使用：海：会話01345
1887,未使用：海：会話01346
1888,未使用：海：会話01347
1889,未使用：海：会話01348
1890,未使用：海：会話01349
1891,"To ripe thy fruit
and spread thy seed,
and nourish those
that tend thee...♪"
1892,未使用：海：会話01351
1893,未使用：海：会話01352
1894,未使用：海：会話01353
1895,"A sprinkle here...
A sprinkle there...
Another sprinkle here..."
1896,未使用：海：会話01355
1897,未使用：海：会話01356
1898,未使用：海：会話01357
1899,未使用：海：会話01358
1900,未使用：海：会話01359
1901,未使用：海：会話01360
1902,未使用：海：会話01361
1903,未使用：海：会話01362
1904,未使用：海：会話01363
1905,未使用：海：会話01364
1906,未使用：海：会話01365
1907,未使用：海：会話01366
1908,未使用：海：会話01367
1909,"You haven't the stones
to work down there!"
1910,未使用：海：会話01369
1911,未使用：海：会話01370
1912,未使用：海：会話01371
1913,未使用：海：会話01372
1914,未使用：海：会話01373
1915,未使用：海：会話01374
1916,未使用：海：会話01375
1917,未使用：海：会話01376
1918,未使用：海：会話01377
1919,未使用：海：会話01378
1920,未使用：海：会話01379
1921,未使用：海：会話01380
1922,未使用：海：会話01381
1923,未使用：海：会話01382
1924,未使用：海：会話01383
1925,未使用：海：会話01384
1926,未使用：海：会話01385
1927,未使用：海：会話01386
1928,未使用：海：会話01387
1929,未使用：海：会話01388
1930,未使用：海：会話01389
1931,未使用：海：会話01390
1932,未使用：海：会話01391
1933,未使用：海：会話01392
1934,未使用：海：会話01393
1935,未使用：海：会話01394
1936,未使用：海：会話01395
1937,未使用：海：会話01396
1938,未使用：海：会話01397
1939,未使用：海：会話01398
1940,未使用：海：会話01399
1941,未使用：海：会話01400
1942,未使用：海：会話01401
1943,未使用：海：会話01402
1944,未使用：海：会話01403
1945,未使用：海：会話01404
1946,未使用：海：会話01405
1947,未使用：海：会話01406
1948,未使用：海：会話01407
1949,未使用：海：会話01408
1950,未使用：海：会話01409
1951,未使用：海：会話01410
1952,未使用：海：会話01411
1953,未使用：海：会話01412
1954,未使用：海：会話01413
1955,未使用：海：会話01414
1956,未使用：海：会話01415
1957,未使用：海：会話01416
1958,未使用：海：会話01417
1959,未使用：海：会話01418
1960,未使用：海：会話01419
1961,未使用：海：会話01420
1962,"I hear they're looking
for men to mortar
the Embrace."
1963,未使用：海：会話01422
1964,未使用：海：会話01423
1965,未使用：海：会話01424
1966,未使用：海：会話01425
1967,We saw Swallowtail Roam!
1968,"Just beyond
the Cieldalaes!"
1969,未使用：海：会話01428
1970,未使用：海：会話01429
1971,未使用：海：会話01430
1972,未使用：海：会話01431
1973,未使用：海：会話01432
1974,"Stand aside, 'venturer!"
1975,未使用：海：会話01434
1976,未使用：海：会話01435
1977,Down here! Quickly now!
1978,未使用：海：会話01437
1979,未使用：海：会話01438
1980,未使用：海：会話01439
1981,未使用：海：会話01440
1982,未使用：海：会話01441
