key,0,1,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
66575,The Ladle in the Darkness,GaiUsc904_01039,ACTOR0,ENEMY0,ITEM0,EOBJECT0,EVENT_ACTION_WAITING_SHOR,EVENT_ACTION_SEARCH,ITEM1,ACTOR1,ACTOR2,ACTOR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66576,Crate Expectations,GaiUsc905_01040,ACTOR0,ITEM0,ACTOR1,ACTOR2,EOBJECT0,EVENT_ACTION_SEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66577,Jumping on a Grenade,GaiUsc906_01041,ACTOR0,EOBJECT0,EVENT_ACTION_WAITING,ENEMY0,EVENT_ACTION_SEARCH,ITEM0,ACTOR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66578,All upon the Watchtowers,GaiUsc907_01042,ACTOR0,ACTOR1,ACTOR2,ACTOR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66579,Hearts on Fire,GaiUsc908_01043,ACTOR0,ACTOR1,ACTOR2,EVENT_ACTION_SEARCH,ACTOR3,ACTOR4,ACTOR5,ACTOR6,ACTOR7,ACTOR8,ACTOR9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66580,The Life of the Party,GaiUsc909_01044,ACTOR0,ITEM0,ACTOR1,ACTOR2,ACTOR3,ACTOR4,VFX_REACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66581,An Eye for Elixirs,GaiUsc910_01045,ACTOR0,ENEMY0,ENEMY1,ENEMY2,ITEM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66582,Setting the Stage,GaiUsc911_01046,ACTOR0,ENEMY0,ENEMY1,ENEMY2,ENEMY3,ENEMY4,ENEMY5,ACTOR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66583,A Recurring Problem,GaiUsd001_01047,ACTOR0,ACTOR1,LOC_ACTOR0,LOC_ACTOR1,LOC_ACTOR2,LOC_ACTOR3,LOC_ACTOR4,LOC_FACE0,LOC_FACE1,LOC_FACE2,LOC_BGM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66584,Ifrit Bleeds,GaiUsd002_01048,ACTOR0,ACTOR1,EOBJECT0,EVENT_ACTION_SYMPATHY,UNLOCK_IMAGE_DUNGEON,UNLOCK_ADD_NEW_CONTENT_TO_CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66585,Pride and Duty (Will Take You from the Mountain),JobWar300_01049,ACTOR0,ACTOR1,ACTOR2,EOBJECT0,EVENT_ACTION_SEARCH,ACTOR3,ACTOR4,TERRITORYTYPE0,QUESTBATTLE0,GEARSET_UNLOCK,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,UNLOCK_IMAGE_CLASS,JOBSTONE_MODEL,HOW_TO_CLASS_CHANGE,HOW_TO_JOB,UNLOCK_IMAGE_JOBCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66586,Embracing the Beast,JobWar350_01050,ACTOR0,EVENT_ACTION_SEARCH,ACTOR1,ACTOR2,ACTOR3,EVENTRANGE0,ENEMY0,EOBJECT0,EOBJECT1,EOBJECT2,EOBJECT3,EOBJECT4,EOBJECT5,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66587,Curious Gorge Goes to Wineport,JobWar400_01051,ACTOR0,ACTOR1,ACTOR2,ACTOR3,EOBJECT0,EVENT_ACTION_,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,ENEMY2,ENEMY3,ENEMY4,ENEMY5,ENEMY6,ENEMY7,ACTOR4,ACTOR5,ACTOR6,ACTOR7,ACTOR8,ACTOR9,ACTOR10,LOGMESSAGE0,LOC_ACTOR0,LOC_ACTOR1,LOC_ACTOR2,LOC_ACTOR3,LOC_ACTOR4,LOC_ACTOR5,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,CUT_JOBWAR00030,JOBSTONE_MODEL,,,,,,,,,,,,,,
66588,Looking the Part,JobWar450_01052,ACTOR0,EVENT_ACTION_SEARCH,EVENTRANGE0,EOBJECT0,EVENT_ACTION_SEARCH_MIDDLE,ENEMY0,RITEM0,LOGMESSAGE0,EVENTRANGE1,EOBJECT1,ENEMY1,RITEM1,EVENTRANGE2,EOBJECT2,ENEMY2,RITEM2,EOBJECT3,EOBJECT4,EOBJECT5,EVENTRANGE3,EOBJECT6,ENEMY3,RITEM3,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,,,,,,,,,,,,,,,,,,,,,,
66589,Proof Is the Pudding,JobWar451_01053,ACTOR0,EVENT_ACTION_SEARCH,EVENTRANGE0,EOBJECT0,EVENT_ACTION_SEARCH_MIDDLE,ENEMY0,EOBJECT1,LOGMESSAGE0,LOC_ACTOR0,LOC_MARKER_00,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66590,How to Quit You,JobWar500_01054,ACTOR0,ACTOR1,ACTOR2,ACTOR3,ACTOR4,ACTOR5,ACTOR6,ACTOR7,ACTOR8,EOBJECT0,EVENT_ACTION_SEARCH,ACTOR9,ACTOR10,ACTOR11,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,SEQ_0_ACTOR0_LQ,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,
66591,Paladin's Pledge,JobPld300_01055,ACTOR0,ACTOR1,EOBJECT0,EVENT_ACTION_PROCESS_UPPER_MIDDLE,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,ENEMY2,ITEM0,EOBJECT1,ITEM1,ITEM2,GEARSET_UNLOCK,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,UNLOCK_IMAGE_CLASS,CUT_JOBPLD00010,JOBSTONE_MODEL,HOW_TO_CLASS_CHANGE,HOW_TO_JOB,UNLOCK_IMAGE_JOBCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,
66592,Honor Lost,JobPld350_01056,ACTOR0,EOBJECT0,EVENT_ACTION_,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,ENEMY2,ENEMY3,ENEMY4,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66593,Power Struggles,JobPld400_01057,ACTOR0,EOBJECT0,EVENT_ACTION_,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,ENEMY2,ENEMY3,ENEMY4,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66594,Poisoned Hearts,JobPld450_01058,ACTOR0,EVENTRANGE0,EOBJECT0,EVENT_ACTION_SEARCH,ENEMY0,ENEMY1,RITEM0,EVENTRANGE1,EOBJECT1,ENEMY2,ENEMY3,RITEM1,EVENTRANGE2,EOBJECT2,ENEMY4,ENEMY5,RITEM2,EVENTRANGE3,EOBJECT3,ENEMY6,ENEMY7,RITEM3,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,,,,,,,,,,,,,,,,,,,,,,
66595,Parley in the Sagolii,JobPld451_01059,ACTOR0,EOBJECT0,EVENT_ACTION_WAITING2_MIDDLE,EOBJECT1,EVENT_ACTION_SEARCH,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66596,Keeping the Oath,JobPld500_01060,ACTOR0,ACTOR1,EVENTRANGE0,EOBJECT0,EVENT_ACTION_SEARCH,EOBJECT1,ACTOR2,ACTOR3,ACTOR4,ACTOR5,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66597,Brother from Another Mother,JobMnk300_01061,ACTOR0,ACTOR1,ITEM0,EOBJECT0,ITEM1,EOBJECT1,EVENT_ACTION_SEARCH,ITEM2,TERRITORYTYPE0,QUESTBATTLE0,GEARSET_UNLOCK,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,UNLOCK_IMAGE_CLASS,JOBSTONE_MODEL,HOW_TO_CLASS_CHANGE,HOW_TO_JOB,UNLOCK_IMAGE_JOBCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66598,Insulted Intelligence,JobMnk350_01062,ACTOR0,ITEM0,EOBJECT0,ENEMY0,ENEMY1,ENEMY2,ENEMY3,EOBJECT1,EVENT_ACTION_PROCESS,ITEM1,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66599,A Slave to the Aether,JobMnk400_01063,ACTOR0,ITEM0,ACTOR1,EOBJECT0,ENEMY0,ENEMY1,ENEMY2,ENEMY3,EOBJECT1,EVENT_ACTION_SEARCH,ITEM1,ITEM2,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,CUT_JOBMNK00020,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66600,The Pursuit of Power,JobMnk450_01064,ACTOR0,ITEM0,EOBJECT0,ENEMY0,ENEMY1,ENEMY2,ENEMY3,ENEMY4,ENEMY5,ENEMY6,EOBJECT1,EVENT_ACTION_SEARCH,ITEM1,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66601,Good Vibrations,JobMnk451_01065,ACTOR0,ACTOR1,EOBJECT0,EVENT_ACTION_PROCESS_UPPER_MIDDLE,RITEM0,EOBJECT1,RITEM1,EOBJECT2,RITEM2,ACTOR2,ENEMY0,ENEMY1,ENEMY2,ACTOR3,ACTOR4,ACTOR5,EOBJECT3,EVENT_ACTION_SEARCH,RITEM3,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,,,,,,,,,,,,,,,,,,,,,,,,,
66602,Five Easy Pieces,JobMnk500_01066,ACTOR0,EVENTRANGE0,EOBJECT0,EOBJECT1,ACTOR1,ACTOR2,ACTOR3,ACTOR4,ACTOR5,ACTOR6,ACTOR7,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_ACTOR0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,LOC_ACTOR1,LOC_POS_ACTOR1,LOC_ACTION0,LOC_ACTION1,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,
66603,Eye of the Dragon,JobDrg300_01067,ACTOR0,ACTOR1,EOBJECT0,EVENT_ACTION_SEARCH,ACTOR2,ACTOR3,EVENTRANGE0,EOBJECT1,ENEMY0,ENEMY1,EOBJECT2,GEARSET_UNLOCK,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,UNLOCK_IMAGE_CLASS,CUT_JOBDRG00010,JOBSTONE_MODEL,HOW_TO_CLASS_CHANGE,HOW_TO_JOB,UNLOCK_IMAGE_JOBCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
66604,Lance of Fury,JobDrg350_01068,ACTOR0,ACTOR1,ENEMY0,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66605,Unfading Skies,JobDrg400_01069,ACTOR0,ACTOR1,ENEMY0,ENEMY1,ENEMY2,ENEMY3,ENEMY4,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66606,Double Dragoon,JobDrg450_01070,ACTOR0,EOBJECT0,EVENT_ACTION_WAITING2_MIDDLE,ACTOR1,ENEMY0,RITEM0,ACTOR2,ENEMY1,RITEM1,ACTOR3,ENEMY2,RITEM2,ITEM0,EOBJECT1,EVENT_ACTION_DRAGON_WHISTLE,ENEMY3,EVENT_ACTION_SEARCH,ITEM1,RITEM3,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,CUT_JOBDRG00020,,,,,,,,,,,,,,,,,,,,,,,,
66607,Fatal Seduction,JobDrg451_01071,ACTOR0,ITEM0,EOBJECT0,EVENT_ACTION_DRAGON_WHISTLE,ENEMY0,EVENT_ACTION_SEARCH,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66608,Into the Dragon's Maw,JobDrg500_01072,ACTOR0,EVENTRANGE0,EOBJECT0,EVENT_ACTION_SEARCH,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,SEQ_0_ACTOR0_LQ,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66609,Taking the Black,JobBlm300_01073,ACTOR0,EOBJECT0,EVENT_ACTION_PROCESS_UPPER_MIDDLE,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,ENEMY2,ITEM0,EOBJECT1,ITEM1,ACTOR1,GEARSET_UNLOCK,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,UNLOCK_IMAGE_CLASS,CUT_JOBBLM00010,CUT_JOBBLM00020,JOBSTONE_MODEL,HOW_TO_CLASS_CHANGE,HOW_TO_JOB,UNLOCK_IMAGE_JOBCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,
66610,You'll Never Go Back,JobBlm350_01074,ACTOR0,EOBJECT0,EVENT_ACTION_,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,ENEMY2,ITEM0,EOBJECT1,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66611,International Relations,JobBlm400_01075,ACTOR0,ACTOR1,ACTOR2,ACTOR3,EOBJECT0,EVENT_ACTION_SEARCH_SHORT,EVENT_ACTION_,ENEMY0,EVENT_ACTION_SEARCH,ITEM0,EOBJECT1,ACTOR4,EOBJECT2,ENEMY1,ITEM1,EOBJECT3,LOGMESSAGE0,LOC_ACTOR0,LOC_ACTOR1,LOC_ACTION0,LOC_ACTION1,LOC_ACTION2,LOC_ACTION3,LOC_ACTION4,LOC_ACTION5,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,LOC_BGM1,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,
66612,The Voidgate Breathes Gloomy,JobBlm450_01076,ACTOR0,EOBJECT0,EVENT_ACTION_,ACTOR1,ACTOR2,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_ACTOR0,LOC_ACTOR1,LOC_ACTION0,LOC_ACTION1,LOC_ACTION2,LOC_ACTION3,LOC_ACTION4,LOC_ACTION5,SEQ_0_ACTOR0_LQ,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,LOC_BGM1,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,
66613,The Blood Must Flow,JobBlm451_01077,ACTOR0,ITEM0,ITEM1,ITEM2,EOBJECT0,RITEM0,EOBJECT1,RITEM1,EOBJECT2,RITEM2,ACTOR1,ACTOR2,EOBJECT3,EVENT_ACTION_PROCESS_UPPER_MIDDLE,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,ENEMY2,ENEMY3,ENEMY4,ITEM3,EOBJECT4,RITEM3,LOGMESSAGE0,LOC_ACTOR0,LOC_ACTOR1,LOC_ACTION0,LOC_ACTION1,LOC_ACTION2,LOC_ACTION3,LOC_ACTION4,LOC_ACTION5,SEQ_0_ACTOR0_LQ,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,LOC_BGM1,,,,,,,,,,,
66614,Always Bet on Black,JobBlm500_01078,ACTOR0,ACTOR1,ACTOR2,ACTOR3,ACTOR4,EVENTRANGE0,ACTOR5,ACTOR6,ACTOR7,ACTOR8,ACTOR9,ACTOR10,ACTOR11,EOBJECT0,EVENT_ACTION_SEARCH_MIDDLE,ACTOR12,ACTOR13,ACTOR14,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_ACTOR0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,LOC_BGM1,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,
66615,Seer Folly,JobWhm300_01079,ACTOR0,ACTOR1,ITEM0,EOBJECT0,EVENT_ACTION_SEARCH,ACTOR2,ACTOR3,TERRITORYTYPE0,QUESTBATTLE0,GEARSET_UNLOCK,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,UNLOCK_IMAGE_CLASS,JOBSTONE_MODEL,HOW_TO_CLASS_CHANGE,HOW_TO_JOB,UNLOCK_IMAGE_JOBCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66616,Only You Can Prevent Forest Ire,JobWhm350_01080,ACTOR0,EVENTRANGE0,EOBJECT0,EVENT_ACTION_QUIET_UNDER_LONG,ENEMY0,ENEMY1,ENEMY2,EOBJECT1,EVENT_ACTION_SEARCH,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66617,O Brother,JobWhm400_01081,ACTOR0,ACTOR1,EOBJECT0,EVENT_ACTION_SEARCH,EOBJECT1,EVENTRANGE0,EVENT_ACTION_QUIET_UNDER_LONG,ENEMY0,ENEMY1,ENEMY2,ENEMY3,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,CUT_JOBWHM00020,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66618,Following in His Footsteps,JobWhm450_01082,ACTOR0,ITEM0,ITEM1,ITEM2,EOBJECT0,RITEM0,EOBJECT1,RITEM1,EOBJECT2,RITEM2,ITEM3,EOBJECT3,EOBJECT4,EVENT_ACTION_SEARCH,EOBJECT5,ITEM4,EOBJECT6,RITEM3,LOGMESSAGE0,LOC_ACTOR1,LOC_ACTOR2,LOC_POS_ACTOR1,LOC_POS_ACTOR2,LOC_FACE0,LOC_FACE1,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,VFX_REACTION,,,,,,,,,,,,,,,,,,,
66619,Yearn for the Urn,JobWhm451_01083,ACTOR0,ACTOR1,ACTOR2,EVENTRANGE0,EOBJECT0,EVENT_ACTION_PROCESS_UPPER_MIDDLE,ENEMY0,ENEMY1,ENEMY2,ITEM0,EOBJECT1,EVENT_ACTION_SEARCH,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66620,Heart of the Forest,JobWhm500_01084,ACTOR0,EOBJECT0,EVENT_ACTION_QUIET_LONG,ACTOR1,ACTOR2,EOBJECT1,EVENT_ACTION_SEARCH,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_ACTOR0,LOC_ACTOR1,LOC_ACTOR2,LOC_POS_ACTOR1,LOC_POS_ACTOR2,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66621,A Song of Bards and Bowmen,JobBrd300_01085,ACTOR0,ACTOR1,ACTOR2,EOBJECT0,EVENT_ACTION_SEARCH,ITEM0,LOC_ACTION1,LOC_ACTION2,LOC_ACTION3,LOC_ACTION4,LOC_FACE0,LOC_FACE1,LOC_FACE2,LOC_SE1,EVT_REACTION1,GEARSET_UNLOCK,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,UNLOCK_IMAGE_CLASS,LOC_BGM1,JOBSTONE_MODEL,HOW_TO_CLASS_CHANGE,HOW_TO_JOB,UNLOCK_IMAGE_JOBCHANGE,,,,,,,,,,,,,,,,,,,,,,,
66622,The Archer's Anthem,JobBrd350_01086,ACTOR0,EOBJECT0,EVENT_ACTION_WAITING2_MIDDLE,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,ENEMY2,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66623,Bard's-eye View,JobBrd400_01087,ACTOR0,EOBJECT0,EVENT_ACTION_WAITING2_MIDDLE,ENEMY0,EVENT_ACTION_SEARCH,ENEMY1,LOGMESSAGE0,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66624,Doing It the Bard Way,JobBrd450_01088,ACTOR0,ITEM0,EOBJECT0,EOBJECT1,EVENT_ACTION_SEARCH,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_ACTION1,LOC_ACTION2,LOC_FACE0,LOC_FACE1,LOC_SE1,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,LOC_BGM1,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66625,Pieces of the Past,JobBrd451_01089,ACTOR0,EOBJECT0,EVENT_ACTION_SEARCH,RITEM0,EOBJECT1,RITEM1,EOBJECT2,RITEM2,EOBJECT3,RITEM3,LOGMESSAGE0,LOC_ACTION1,LOC_ACTION2,LOC_FACE0,LOC_FACE1,LOC_SE1,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,LOC_BGM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66626,Requiem for the Fallen,JobBrd500_01090,ACTOR0,ITEM0,EOBJECT0,ACTOR1,EOBJECT1,EVENT_ACTION_SEARCH,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_ACTION1,LOC_ACTION2,LOC_FACE0,LOC_FACE1,LOC_SE1,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,LOC_BGM1,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66627,Austerities of Flame,JobSmn300_01091,ACTOR0,ACTOR1,ACTOR2,EOBJECT0,EVENT_ACTION_SEARCH,TERRITORYTYPE0,QUESTBATTLE0,COMPLETED_QUEST_IFR,COMPLETED_QUEST_TAI,GEARSET_UNLOCK,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,UNLOCK_IMAGE_CLASS,COMPLETED_CONTENTS_IFR,COMPLETED_CONTENTS_TAI,JOBSTONE_MODEL,HOW_TO_CLASS_CHANGE,HOW_TO_JOB,UNLOCK_IMAGE_JOBCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66628,Austerities of Earth,JobSmn350_01092,ACTOR0,ACTOR1,EOBJECT0,EVENT_ACTION_SEARCH,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,COMPLETED_QUEST_TAI,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,COMPLETED_CONTENTS_TAI,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66629,Shadowing the Summoner,JobSmn400_01093,ACTOR0,ACTOR1,ENEMY0,ENEMY1,ENEMY2,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66630,Allagan Attire,JobSmn450_01094,ACTOR0,ACTOR1,ACTOR2,ENEMY0,RITEM0,ACTOR3,ENEMY1,RITEM1,ACTOR4,ENEMY2,RITEM2,RITEM3,LOGMESSAGE0,LOC_POS_ACTOR0,COMPLETED_QUEST_GAL,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,COMPLETED_CONTENTS_GAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66631,Austerities of Wind,JobSmn451_01095,ACTOR0,ACTOR1,EOBJECT0,EVENT_ACTION_SEARCH,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,COMPLETED_QUEST_GAL,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,COMPLETED_CONTENTS_GAL,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66632,Primal Burdens,JobSmn500_01096,ACTOR0,ACTOR1,ACTOR2,EVENTRANGE0,EOBJECT0,EVENT_ACTION_SEARCH,EOBJECT1,ACTOR3,TERRITORYTYPE0,QUESTBATTLE0,LOGMESSAGE0,LOC_FACE0,LOC_FACE1,LOC_ACTION0_WSGET,LOC_WS,LOC_VFX1,LOC_VFX2,LOC_LOG_MES,JOBSTONE_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
